id,lat,lon,user,uid,version,changeset,timestamp
112989109,33.6555000,-78.9403572,probiscus,256900,3,11847602,2012-06-09T18:32:03Z
112989113,33.6557054,-78.9396631,probiscus,256900,3,11847602,2012-06-09T18:32:03Z
112989115,33.6557501,-78.9393267,probiscus,256900,3,11847602,2012-06-09T18:32:03Z
112989118,33.6555383,-78.9383428,probiscus,256900,5,39301647,2016-05-13T21:36:59Z
112989129,33.7437503,-78.8224550,TheMBDude,4176310,5,43248041,2016-10-28T14:52:54Z
112989522,33.6887026,-78.9127900,Omnific,1408522,3,21232648,2014-03-21T19:19:53Z
112989525,33.6889236,-78.9123097,Omnific,1408522,3,21232648,2014-03-21T19:19:53Z
112989526,33.6897402,-78.9102295,techlady,104962,3,13158206,2012-09-18T16:01:10Z
112989527,33.6898043,-78.9096334,Omnific,1408522,3,21232648,2014-03-21T19:19:52Z
112989528,33.6898350,-78.9081330,woodpeck_fixbot,147510,2,2499446,2009-09-16T08:18:21Z
112989530,33.6898316,-78.9072283,Omnific,1408522,3,21232648,2014-03-21T19:19:52Z
112989533,33.6898498,-78.9061075,Omnific,1408522,3,21232540,2014-03-21T19:12:00Z
112989535,33.6898558,-78.9055908,Omnific,1408522,3,21232540,2014-03-21T19:12:00Z
112989537,33.6898665,-78.9049941,Omnific,1408522,3,21232540,2014-03-21T19:11:59Z
112989539,33.6898726,-78.9043756,Omnific,1408522,3,21232540,2014-03-21T19:11:59Z
112989542,33.6898998,-78.9038443,Omnific,1408522,3,21232540,2014-03-21T19:11:59Z
112989544,33.6902117,-78.9020905,Omnific,1408522,5,21232540,2014-03-21T19:11:59Z
112989545,33.6903933,-78.9012354,Omnific,1408522,4,21232540,2014-03-21T19:12:00Z
112989548,33.6908326,-78.8992029,Omnific,1408522,4,21232764,2014-03-21T19:26:33Z
112989550,33.6908823,-78.8989983,be9110,23999,3,3043875,2009-11-05T21:00:11Z
112989551,33.6911808,-78.8976201,Omnific,1408522,3,21232764,2014-03-21T19:26:33Z
112989553,33.6911929,-78.8975219,Omnific,1408522,3,21232764,2014-03-21T19:26:33Z
112989556,33.6912047,-78.8972449,Omnific,1408522,3,21232764,2014-03-21T19:26:33Z
112989558,33.6911675,-78.8965372,Omnific,1408522,3,21232764,2014-03-21T19:26:33Z
112989562,33.6911329,-78.8962314,Omnific,1408522,4,21232764,2014-03-21T19:26:33Z
112989657,33.6897915,-78.9384818,Omnific,1408522,3,20902168,2014-03-04T03:26:59Z
112989659,33.6904164,-78.9354819,Omnific,1408522,3,20902168,2014-03-04T03:26:59Z
112989808,33.6850274,-78.9696023,TheMBDude,4176310,5,43391138,2016-11-03T21:55:26Z
112989811,33.6860110,-78.9699870,woodpeck_fixbot,147510,2,2952900,2009-10-26T01:34:58Z
112989814,33.6872700,-78.9704530,woodpeck_fixbot,147510,2,2499446,2009-09-16T08:18:25Z
112989987,33.6738816,-78.9214664,Omnific,1408522,3,20896460,2014-03-03T20:11:45Z
112990069,33.6715530,-78.9213180,woodpeck_fixbot,147510,2,2499446,2009-09-16T08:18:29Z
