id,user,uid,version,changeset,timestamp
12411927,bot-mode,451693,3,14515513,2013-01-03T17:38:36Z
12412006,bot-mode,451693,2,14515513,2013-01-03T17:38:38Z
12412029,RichRico,2219338,3,44070444,2016-11-30T21:27:14Z
12412081,Omnific,1408522,2,21269567,2014-03-23T17:58:31Z
12412198,TheMBDude,4176310,7,40471419,2016-07-04T06:36:03Z
12412891,Munchabunch,414318,2,12640715,2012-08-07T02:49:27Z
12412980,TheMBDude,4176310,3,43455036,2016-11-07T01:06:21Z
12413563,DaveHansenTiger,7168,1,505447,2007-11-14T03:57:09Z
12415698,Peter14,13832,2,14218993,2012-12-09T21:19:37Z
12416922,Omnific,1408522,9,20895960,2014-03-03T19:49:44Z
12419836,probiscus,256900,4,11848184,2012-06-09T19:35:09Z
12419942,Omnific2,2027261,3,22157140,2014-05-05T23:44:30Z
12421224,TheMBDude,4176310,3,43391138,2016-11-03T21:55:44Z
12421530,DaveHansenTiger,7168,1,505447,2007-11-14T04:21:38Z
12421532,Omnific,1408522,2,21271354,2014-03-23T19:16:06Z
12422504,DaveHansenTiger,7168,1,505658,2007-11-14T04:24:48Z
12422823,DaveHansenTiger,7168,1,505658,2007-11-14T04:26:11Z
12423997,probiscus,256900,4,11847602,2012-06-09T18:26:47Z
12424000,TheMBDude,4176310,8,43494732,2016-11-08T18:15:39Z
12424070,bot-mode,451693,2,14419367,2012-12-26T22:55:52Z
12424504,bot-mode,451693,2,14515513,2013-01-03T17:38:41Z
12424508,bot-mode,451693,2,14515513,2013-01-03T17:38:42Z
12424569,bot-mode,451693,2,14515513,2013-01-03T17:38:43Z
12424600,bot-mode,451693,3,14515513,2013-01-03T17:38:43Z
12424629,TheMBDude,4176310,4,42895301,2016-10-14T12:38:55Z
12424645,TheMBDude,4176310,7,43248041,2016-10-28T14:52:58Z
12424693,bot-mode,451693,5,14515513,2013-01-03T17:38:44Z
12424726,BCNorwich,322785,13,43865082,2016-11-22T08:36:55Z
12424771,bot-mode,451693,2,14515513,2013-01-03T17:38:45Z
12424879,Omnific,1408522,3,21271354,2014-03-23T19:15:57Z
12425087,TheMBDude,4176310,11,51081596,2017-08-13T13:11:40Z
12425174,Omnific,1408522,4,22535556,2014-05-25T04:30:33Z
12425194,Ben97,5509234,15,50235553,2017-07-12T16:53:40Z
12425204,bot-mode,451693,2,14419367,2012-12-26T22:55:53Z
12425243,TheMBDude,4176310,5,43494732,2016-11-08T18:15:43Z
12425372,samely,2512300,5,44043609,2016-11-29T20:18:45Z
12425485,bot-mode,451693,2,14515513,2013-01-03T17:38:52Z
12425575,beweta,152074,5,31594655,2015-05-30T22:12:06Z
12425655,bot-mode,451693,2,14515513,2013-01-03T17:38:53Z
12425804,TheMBDude,4176310,4,51081596,2017-08-13T13:11:40Z
12425988,bot-mode,451693,12,14460838,2012-12-30T09:06:07Z
12425994,Omnific,1408522,9,21411828,2014-03-31T02:47:34Z
12426138,bot-mode,451693,6,14460838,2012-12-30T09:06:07Z
12426337,maxerickson,360392,6,24871188,2014-08-19T21:39:41Z
12426389,bot-mode,451693,2,14515513,2013-01-03T17:39:00Z
12426418,Omnific,1408522,6,20901965,2014-03-04T03:00:58Z
12426424,bot-mode,451693,2,14419367,2012-12-26T22:55:54Z
12426603,bot-mode,451693,3,14515513,2013-01-03T17:39:02Z
12426661,TheMBDude,4176310,8,40492509,2016-07-05T06:50:33Z
