id,key,value,type
12411927,highway,residential,regular
12411927,name,Elderberry Street,regular
12411927,cfcc,A41,tiger
12411927,county,"Horry, SC",tiger
12411927,name_base,Elderberry,tiger
12411927,name_type,St,tiger
12411927,reviewed,no,tiger
12411927,zip_left,29577,tiger
12411927,zip_right,29577,tiger
12412006,highway,residential,regular
12412006,name,Shelter Cove,regular
12412006,cfcc,A41,tiger
12412006,county,"Horry, SC",tiger
12412006,name_base,Shelter,tiger
12412006,name_type,Cv,tiger
12412006,reviewed,no,tiger
12412006,zip_left,29577,tiger
12412006,zip_right,29577,tiger
12412029,highway,residential,regular
12412029,name,Bellamy Lane,regular
12412029,cfcc,A41,tiger
12412029,county,"Horry, SC",tiger
12412029,name_base,Bellamy,tiger
12412029,name_type,Ln,tiger
12412029,reviewed,no,tiger
12412029,zip_left,29588,tiger
12412029,zip_right,29588,tiger
12412081,access,private,regular
12412081,highway,service,regular
12412081,cfcc,A74,tiger
12412081,county,"Horry, SC",tiger
12412081,reviewed,no,tiger
12412198,access,private,regular
12412198,highway,service,regular
12412198,cfcc,A74,tiger
12412198,county,"Horry, SC",tiger
12412198,reviewed,no,tiger
12412891,highway,residential,regular
12412891,cfcc,A41,tiger
12412891,county,"Horry, SC",tiger
12412891,reviewed,no,tiger
12412891,separated,no,tiger
12412891,source,tiger_import_dch_v0.6_20070829,tiger
12412891,tlid,29058023,tiger
12412891,upload_uuid,bulk_upload.pl-d4571a8e-22ce-40ef-bb16-0392b2940b1d,tiger
12412980,power,line,regular
12412980,cfcc,C20,tiger
12412980,county,"Horry, SC",tiger
12412980,reviewed,no,tiger
12413563,highway,residential,regular
12413563,cfcc,A41,tiger
12413563,county,"Horry, SC",tiger
12413563,reviewed,no,tiger
12413563,separated,no,tiger
12413563,source,tiger_import_dch_v0.6_20070829,tiger
12413563,tlid,29085839,tiger
12413563,upload_uuid,bulk_upload.pl-d4571a8e-22ce-40ef-bb16-0392b2940b1d,tiger
12415698,highway,residential,regular
12415698,cfcc,A41,tiger
12415698,county,"Horry, SC",tiger
12415698,reviewed,no,tiger
12416922,highway,service,regular
12416922,cfcc,A41,tiger
12416922,county,"Horry, SC",tiger
12416922,reviewed,no,tiger
12419836,access,private,regular
12419836,highway,service,regular
12419836,source,Bing;TIGER,regular
12419942,access,private,regular
12419942,highway,service,regular
12419942,cfcc,A74,tiger
12419942,county,"Horry, SC",tiger
12419942,reviewed,no,tiger
12421224,highway,service,regular
12421224,cfcc,A41,tiger
12421224,county,"Horry, SC",tiger
12421224,reviewed,no,tiger
12421530,highway,residential,regular
12421530,cfcc,A41,tiger
12421530,county,"Horry, SC",tiger
12421530,reviewed,no,tiger
12421530,separated,no,tiger
12421530,source,tiger_import_dch_v0.6_20070829,tiger
12421530,tlid,29077933,tiger
12421530,upload_uuid,bulk_upload.pl-d4571a8e-22ce-40ef-bb16-0392b2940b1d,tiger
12421532,highway,residential,regular
12421532,cfcc,A41,tiger
12421532,county,"Horry, SC",tiger
12421532,reviewed,no,tiger
12422504,highway,residential,regular
12422504,cfcc,A41,tiger
12422504,county,"Horry, SC",tiger
12422504,reviewed,no,tiger
12422504,separated,no,tiger
12422504,source,tiger_import_dch_v0.6_20070829,tiger
12422504,tlid,29058900,tiger
12422504,upload_uuid,bulk_upload.pl-d4571a8e-22ce-40ef-bb16-0392b2940b1d,tiger
12422823,highway,residential,regular
12422823,cfcc,A41,tiger
12422823,county,"Horry, SC",tiger
12422823,reviewed,no,tiger
12422823,separated,no,tiger
12422823,source,tiger_import_dch_v0.6_20070829,tiger
12422823,tlid,29057434,tiger
12422823,upload_uuid,bulk_upload.pl-d4571a8e-22ce-40ef-bb16-0392b2940b1d,tiger
12423997,highway,residential,regular
12423997,name,Cactus Street,regular
12423997,cfcc,A41,tiger
12423997,county,"Horry, SC",tiger
12423997,name_base,Cactus,tiger
12423997,name_type,St,tiger
12423997,reviewed,no,tiger
12423997,separated,no,tiger
12423997,source,tiger_import_dch_v0.6_20070829,tiger
12423997,tlid,29057949:29071368:29057952:29057962:29057963,tiger
12423997,upload_uuid,bulk_upload.pl-d4571a8e-22ce-40ef-bb16-0392b2940b1d,tiger
12423997,zip_left,29577,tiger
12423997,zip_right,29577,tiger
12424000,highway,residential,regular
12424000,name,Jackson Street,regular
12424070,highway,residential,regular
12424070,name,Owens Drive,regular
12424070,cfcc,A41,tiger
12424070,county,"Horry, SC",tiger
12424070,name_base,Owens,tiger
12424070,name_type,Dr,tiger
12424070,reviewed,no,tiger
12424070,zip_left,29577,tiger
12424070,zip_right,29577,tiger
12424504,highway,residential,regular
12424504,name,Taurus Lane,regular
12424504,cfcc,A41,tiger
12424504,county,"Horry, SC",tiger
12424504,name_base,Taurus,tiger
12424504,name_type,Ln,tiger
12424504,reviewed,no,tiger
12424504,zip_left,29575,tiger
12424504,zip_right,29575,tiger
12424508,highway,residential,regular
12424508,name,Pisces Lane,regular
12424508,cfcc,A41,tiger
12424508,county,"Horry, SC",tiger
12424508,name_base,Pisces,tiger
12424508,name_type,Ln,tiger
12424508,reviewed,no,tiger
12424508,zip_left,29575,tiger
12424508,zip_right,29575,tiger
12424569,highway,residential,regular
12424569,name,Cirus Drive,regular
12424569,cfcc,A41,tiger
12424569,county,"Horry, SC",tiger
12424569,name_base,Cirus,tiger
12424569,name_type,Dr,tiger
12424569,reviewed,no,tiger
12424569,zip_left,29575,tiger
12424569,zip_right,29575,tiger
12424600,highway,residential,regular
12424600,name,Delta Circle,regular
12424600,cfcc,A41,tiger
12424600,county,"Horry, SC",tiger
12424600,name_base,Delta,tiger
12424600,name_type,Cir,tiger
12424600,reviewed,no,tiger
12424600,zip_left,29577,tiger
12424629,highway,residential,regular
12424629,name,Talbot Circle,regular
12424629,cfcc,A41,tiger
12424629,county,"Horry, SC",tiger
12424629,name_base,Talbot,tiger
12424629,name_type,Cir,tiger
